Player,Salary
Jalen McDaniels,1517981
Cody Martin,1517981
Dean Wade,1517981
Mychal Mulder,1517981
Alen Smailagić,1517981
Eric Paschall,1517981
Chris Clemons,1517981
Jalen Lecque,1517981
Talen Horton-Tucker,1517981
Chris Silva,1517981
KZ Okpala,1517981
Jaylen Nowell,1517981
Naz Reid,1517981
Ignas Brazdeikis,1517981
Isaiah Roby,1517981
Admiral Schofield,1517981
Luguentz Dort,1517981
Justin James,1517981
Terence Davis,1517981
Matt Thomas,1517981
Miye Oni,1517981
Robert Woodard,1500000
J.R. Smith,1456667
Jae'Sean Tate,1445967
Zach Norvell,1445697
Isaiah Hartenstein,1445697
Kelan Martin,1445697
Zylan Cheatham,1445697
DaQuan Jeffries,1445697
Paul Watson,1445697
Vernon Carey Jr.,1350000
Xavier Tillman Sr.,1300000
Tyrell Terry,1289846
Guerschon Yabusele,1039080
Nick Richards,1000000
Quinn Cook,1000000
Jahmi'us Ramsey,1000000
Kyle Singler,999200
Vlatko Čančar,898310
Deividas Sirvydis,898310
Kenyon Martin Jr.,898310
Daniel Oturu,898310
Sam Merrill,898310
Jordan Nwora,898310
Isaiah Joe,898310
CJ Elleby,898310
Tre Jones,898310
Elijah Hughes,898310
Anthony Gill,898310
Khyri Thomas,744684
Cole Aldrich,685340
Shaun Livingston,666667
Dakari Johnson,459414
A.J. Hammons,350087
Rayjon Tucker,340000
Oshae Brissett,300000
Justin Anderson,125000
Troy Williams,122741
Demetrius Jackson,92857
Henry Ellenson,50000
